	illuNames	Type
1	UMSCC 10B	HNSCC
2	OSC19 LN2	HNSCC
3	TU159	HNSCC
4	TU686	HNSCC
5	UMSCC 14B	HNSCC
6	A431	HNSCC
7	UMSCC 11A	HNSCC
8	TMAR-B	HNSCC
9	C39	HNSCC
10	DM-14	HNSCC
11	MDA183	HNSCC
12	383B	HNSCC
13	TU182	HNSCC
14	TU212	HNSCC
15	MDA 1386	HNSCC
16	MDA1483	HNSCC
17	TUN7	HNSCC
18	TU167	HNSCC
19	UMHSCC   5	HNSCC
20	HN30	HNSCC
21	U22A	HNSCC
22	MDA1986	HNSCC
23	17B	HNSCC
24	UMHSCC  16	HNSCC
25	UMHSCC  17	HNSCC
26	SQCCY1	HNSCC
27	OSC19	HNSCC
28	U22B	HNSCC
29	HN5	HNSCC
30	FADU	HNSCC
31	17A	HNSCC
32	LN686	HNSCC
33	UMHSCC   4	HNSCC
34	A549	Lung
35	Calu.1	Lung
36	Calu.3	Lung
37	Calu.6	Lung
38	H23	Lung
39	H125	Lung
40	H157	Lung
41	H290	Lung
42	H322	Lung
43	H324	Lung
44	H358	Lung
45	H441	Lung
46	H460	Lung
47	H596	Lung
48	H647	Lung
49	H661	Lung
50	H820	Lung
51	H1155f	Lung
52	H1299	Lung
53	H1355	Lung
54	H1373	Lung
55	H1395	Lung
56	H1437	Lung
57	H1648	Lung
58	H1650	Lung
59	H1666	Lung
60	H1693	Lung
61	H1755	Lung
62	H1770	Lung
63	H1781	Lung
64	H1792	Lung
65	H1819	Lung
66	H1975	Lung
67	H1993	Lung
68	H2009	Lung
69	H2030	Lung
70	H2052	Lung
71	H2077	Lung
72	H2087	Lung
73	H2106	Lung
74	H2122	Lung
75	H2126	Lung
76	H2141	Lung
77	H2347	Lung
78	H2882	Lung
79	H2887	Lung
80	H3122	Lung
81	H3255	Lung
82	HCC5	Lung
83	HCC15	Lung
84	HCC44	Lung
85	HCC78	Lung
86	HCC95	Lung
87	HCC364	Lung
88	HCC366	Lung
89	HCC461	Lung
90	HCC515	Lung
91	HCC827	Lung
92	HCC1171	Lung
93	HCC1195	Lung
94	HCC1359	Lung
95	HCC1833	Lung
96	HCC2279	Lung
97	HCC2429	Lung
98	HCC2450	Lung
99	HCC2935	Lung
100	HCC4006	Lung
101	HCC4011	Lung
102	HCC4017	Lung
103	HCC4018	Lung
104	HBEC30KT	Lung
105	HBEC34KT	Lung
