	x
1	UMSCC17A
2	UMSCC14A
3	UMSCC47
4	PCI-15A
5	PCI-13
6	UMSCC14B
7	PCI-15B
8	SN-2
9	JHU-011
10	MDA1386TU
11	UMSCC11A
12	UMSCC22B
13	UMSCC22A
14	HN30
15	JHU-029
16	UMSCC17B
17	OSC19
18	UMSCC10B
19	SN-1
20	TR146
21	OSC19 LN3
22	OSC19 LN4
23	OSC19 LN5
24	SQCCY1
25	UMSCC4
26	UMSCC2
27	FADU
28	OSC19 LN2
29	JHU-028
30	UMSCC1
31	OSC19 LN1
32	SCC61
33	HN5
34	H23
35	H1792
36	HCC4017
37	H157
38	H2009
39	HCC78
40	HOP62.L
41	HCC515
42	HCC2450
43	H2347
44	H820
45	HCC1171
46	H522
47	PC-9
48	H1819
49	H322
50	HCC193
51	H1693
52	H292
53	HCC827
54	H226
55	Calu-1
56	H358
57	HCC1833
58	HCC95
59	H460
60	H596
61	H2122
62	H1993
63	A549.L
64	EKVX.L
65	H1299
66	H661
67	ML-1
68	MOLT4
69	NH32
70	COLO205
71	K562
72	TK6
73	SR
74	HL60
75	RPMI
76	CCRF-CEM
77	LOX-IVMI
78	NCI-H23
79	OVCAR4
80	T47D
81	HOP62
82	HOP92
83	CAKI-1
84	SNB19
85	UACC-62
86	IGROV-1
87	BT549
88	NCI-H522
89	786-O
90	MDA-MB231
91	HCT116
92	U251
93	UO31
94	SK-MEL2
95	HS578T
96	SF-268
97	A498
98	KM12
99	UACC-257
100	TK10
101	SF-539
102	OVCAR8
103	NCI-ADR
104	MALME-3M
105	MDA-MB435
106	OVCAR3
107	SW620
108	M14
109	NCI-H226
110	DU-145
111	ACHN
112	NCI-H322M
113	HCT15
114	SKOV-3
115	OVCAR5
116	HCC-2998
117	RXF-393
118	A549
119	PC3
120	MDA-N
121	SNB75
122	SF-295
123	HT29
124	NCI-H460
125	MCF7
126	SK-MEL5
127	SN12C
128	EKVX
129	SK-MEL28
